Cities,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,10 Percentile,20 Percentile,30 Percentile,40 Percentile,50 Percentile,60 Percentile,70 Percentile,80 Percentile,90 Percentile,Maximum,20 Deg,40 Deg,60 Deg,80 Deg,100 Deg,120 Deg,140 Deg,160 Deg,180 Deg,200 Deg,220 Deg,240 Deg,260 Deg,280 Deg,300 Deg,320 Deg,340 Deg,360 Deg
Guangzhou,0.1695,0.1769,0.4774,0.1711,0.0044,0.0005,0.0002,0.0001,,,,,,,,,0.07,0.08,0.06,0.05,0.06,0.06,0.07,0.09,0.15,0.31,0.0494,0.036,0.0537,0.1003,0.3362,0.0907,0.0539,0.047,0.12,0.0808,0.0113,0.0047,0.0026,0.0019,0.0002,0.0002,0,0
Hangzhou,0.1515,0.2147,0.3968,0.2275,0.0076,0.0013,0.0002,0.0001,0.0004,,,,,,,,0.08,0.09,0.06,0.04,0.05,0.04,0.05,0.08,0.14,0.35,0.0456,0.0305,0.0466,0.1022,0.3608,0.0906,0.0465,0.0422,0.1159,0.0787,0.0106,0.0041,0.0019,0.0018,0.0003,0.0001,0,0
Harbin,0.1537,0.1733,0.4564,0.2107,0.0049,0.0007,0.0002,,,,,,,,,,0.05,0.07,0.06,0.05,0.06,0.06,0.07,0.1,0.13,0.34,0.0351,0.033,0.0455,0.0787,0.4315,0.0738,0.049,0.0369,0.1088,0.0728,0.0107,0.0043,0.0027,0.0022,0.0006,0.0001,0,0
HoChiMinh,0.2005,0.073,0.5665,0.156,0.0034,0.0004,0.0002,0,0,,,,,,,,0.07,0.07,0.09,0.11,0.12,0.09,0.1,0.11,0.11,0.14,0.0146,0.0204,0.0348,0.0833,0.5097,0.0831,0.0382,0.0273,0.1017,0.0662,0.0066,0.0027,0.0019,0.0025,0.0003,0.0001,0.0001,0
Houston,0.2344,0.1081,0.5071,0.1481,0.0022,0.0001,0,0,0,,,,,,,,0.05,0.09,0.07,0.07,0.08,0.12,0.12,0.11,0.12,0.15,0.0217,0.0217,0.0359,0.0842,0.4728,0.0805,0.0369,0.0285,0.1024,0.0667,0.0078,0.0037,0.0032,0.0047,0.0006,0.0002,0.0001,0.0001
Hyderabad,0.2338,0.0456,0.5721,0.1469,0.0013,0.0002,0.0001,,,,,,,,,,0.07,0.12,0.17,0.17,0.13,0.1,0.09,0.08,0.05,0.03,0.0116,0.021,0.0344,0.0836,0.5271,0.0766,0.0333,0.0261,0.0988,0.0649,0.0055,0.0031,0.0024,0.0022,0.0002,0.0001,0.0001,0
Istambul,0.1142,0.0516,0.6803,0.1501,0.0036,0.0002,0,,,,,,,,,,0.09,0.1,0.16,0.15,0.12,0.09,0.09,0.09,0.06,0.05,0.0197,0.0336,0.0546,0.119,0.3694,0.1132,0.055,0.0422,0.1007,0.0673,0.0083,0.0031,0.0017,0.0011,0.0003,0.0001,0.0001,0
Jacarta,0.1488,0.0822,0.6355,0.1314,0.0017,0.0002,0,0.0003,,,,,,,,,0.07,0.07,0.18,0.14,0.1,0.09,0.1,0.1,0.09,0.07,0.0228,0.021,0.0308,0.0758,0.5122,0.0679,0.033,0.0263,0.1074,0.0687,0.0062,0.0036,0.003,0.0043,0.0004,0.0002,0,0
Johannesburg,0.1379,0.1086,0.594,0.1571,0.0021,0.0002,0,0,0,0,,,,,,,0.04,0.06,0.06,0.11,0.11,0.1,0.1,0.11,0.15,0.14,0.024,0.0304,0.047,0.0939,0.4236,0.0902,0.0483,0.0349,0.1003,0.0592,0.0093,0.0046,0.0039,0.0037,0.0007,0.0002,0.0001,0
Karachi,0.1074,0.0388,0.6601,0.1916,0.0017,0.0003,0.0001,,,,,,,,,,0.06,0.08,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.07,0.0108,0.0155,0.0293,0.0643,0.5873,0.064,0.0324,0.0202,0.099,0.0645,0.0036,0.0014,0.0011,0.0017,0.0002,0.0001,0,0
